
 Version: 2.1
 Chunks: 1
 Start: 2026-02-23 11:16:26 (UTC)
 Duration: 3 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                          589          5753
 jdk.SystemProcess                         505         28870
 jdk.BooleanFlag                           491         14596
 jdk.ActiveSetting                         376          9324
 jdk.GCPhaseParallel                       364          8272
 jdk.ObjectAllocationSample                239          3320
 jdk.ModuleRequire                         159          1431
 jdk.PromoteObjectInNewPLAB                142          2258
 jdk.LongFlag                              137          4260
 jdk.Deoptimization                        127          2889
 jdk.NativeMethodSample                    127          1207
 jdk.Checkpoint                            114        428237
 jdk.NativeLibrary                         105          6297
 jdk.UnsignedLongFlag                       93          3052
 jdk.InitialEnvironmentVariable             92          7614
 jdk.JavaExceptionThrow                     81          3519
 jdk.ExecutionSample                        70           694
 jdk.JavaMonitorWait                        49          1129
 jdk.UnsignedIntFlag                        48          1534
 jdk.InitialSecurityProperty                44          2132
 jdk.IntFlag                                44          1519
 jdk.ThreadAllocationStatistics             38           328
 jdk.StringFlag                             34          1025
 jdk.JavaErrorThrow                         33           450
 jdk.PromoteObjectOutsidePLAB               27           403
 jdk.ThreadPark                             23           726
 jdk.ExecuteVMOperation                     17           239
 jdk.DoubleFlag                             16           629
 jdk.InitialSystemProperty                  15          2241
 jdk.TenuringDistribution                   15           138
 jdk.ThreadStart                            15           155
 jdk.SocketRead                             12           543
 jdk.ThreadEnd                              10            80
 jdk.ClassLoaderStatistics                   6           153
 jdk.CodeCacheStatistics                     6           180
 jdk.GCHeapMemoryPoolUsage                   6           216
 jdk.ThreadCPULoad                           6            90
 jdk.SafepointBegin                          5            55
 jdk.GCReferenceStatistics                   4            37
 jdk.MetaspaceChunkFreeListSummary           4            68
 jdk.NativeLibraryLoad                       4           214
 jdk.GCPhasePauseLevel1                      3           118
 jdk.Compilation                             2            53
 jdk.DeprecatedInvocation                    2            36
 jdk.G1HeapSummary                           2            44
 jdk.GCConfiguration                         2            48
 jdk.GCHeapMemoryUsage                       2            40
 jdk.GCHeapSummary                           2            76
 jdk.JavaMonitorStatistics                   2            14
 jdk.MetaspaceSummary                        2            96
 jdk.OldObjectSample                         2            54
 jdk.PhysicalMemory                          2            32
 jdk.SwapSpace                               2            34
 jdk.ActiveRecording                         1           104
 jdk.CPUInformation                          1          1618
 jdk.CPULoad                                 1            18
 jdk.CPUTimeStampCounter                     1            16
 jdk.ClassLoadingStatistics                  1             9
 jdk.CodeCacheConfiguration                  1            43
 jdk.CompilerConfiguration                   1            10
 jdk.CompilerStatistics                      1            28
 jdk.EvacuationInformation                   1            24
 jdk.ExceptionStatistics                     1             8
 jdk.FileRead                                1            17
 jdk.G1AdaptiveIHOP                          1            38
 jdk.G1BasicIHOP                             1            38
 jdk.G1EvacuationOldStatistics               1            37
 jdk.G1EvacuationYoungStatistics             1            41
 jdk.G1GarbageCollection                     1            11
 jdk.G1MMU                                   1            12
 jdk.GCCPUTime                               1            19
 jdk.GCHeapConfiguration                     1            25
 jdk.GCPhasePause                            1            21
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GarbageCollection                       1            19
 jdk.JVMInformation                          1           526
 jdk.JavaMonitorEnter                        1            20
 jdk.JavaThreadStatistics                    1            10
 jdk.Metadata                                1        110520
 jdk.OSInformation                           1           115
 jdk.ResidentSetSize                         1            14
 jdk.Shutdown                                1            39
 jdk.VirtualizationInformation               1            20
 jdk.YoungGarbageCollection                  1            11
 jdk.YoungGenerationConfiguration            1            16
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.Deserialization                         0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileWrite                               0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceOOM                            0             0
 jdk.MethodTiming                            0             0
 jdk.MethodTrace                             0             0
 jdk.NativeAgent                             0             0
 jdk.NativeLibraryUnload                     0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.NetworkUtilization                      0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.OldGarbageCollection                    0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ProcessStart                            0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.RetransformClasses                      0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointLatency                        0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.SocketWrite                             0             0
 jdk.StringFlagChanged                       0             0
 jdk.StringTableStatistics                   0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.SystemGC                                0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.ThreadDump                              0             0
 jdk.ThreadSleep                             0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZYoungGarbageCollection                 0             0
