
 Version: 2.1
 Chunks: 1
 Start: 2026-02-23 11:16:54 (UTC)
 Duration: 2 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                       720         15866
 jdk.ModuleExport                          567          5506
 jdk.SystemProcess                         504         28796
 jdk.BooleanFlag                           491         14596
 jdk.ActiveSetting                         376          9324
 jdk.ModuleRequire                         159          1431
 jdk.LongFlag                              137          4260
 jdk.Deoptimization                        110          2481
 jdk.PromoteObjectInNewPLAB                108          1750
 jdk.NativeMethodSample                    107          1010
 jdk.NativeLibrary                         106          6358
 jdk.UnsignedLongFlag                       93          3052
 jdk.InitialEnvironmentVariable             92          7618
 jdk.ObjectAllocationSample                 76          1056
 jdk.Checkpoint                             53        201363
 jdk.UnsignedIntFlag                        48          1534
 jdk.InitialSecurityProperty                44          2132
 jdk.IntFlag                                44          1519
 jdk.ThreadAllocationStatistics             41           352
 jdk.JavaExceptionThrow                     38          1392
 jdk.StringFlag                             34          1025
 jdk.JavaMonitorWait                        29           667
 jdk.ExecutionSample                        26           258
 jdk.ThreadPark                             22           688
 jdk.PromoteObjectOutsidePLAB               18           266
 jdk.DoubleFlag                             16           629
 jdk.InitialSystemProperty                  15          2241
 jdk.SocketRead                             15           677
 jdk.TenuringDistribution                   15           138
 jdk.ThreadStart                            14           144
 jdk.ExecuteVMOperation                     13           183
 jdk.ThreadEnd                              10            80
 jdk.JavaErrorThrow                          8           105
 jdk.ClassLoaderStatistics                   6           153
 jdk.CodeCacheStatistics                     6           180
 jdk.GCHeapMemoryPoolUsage                   6           216
 jdk.OldObjectSample                         6           172
 jdk.ThreadCPULoad                           6            90
 jdk.NativeLibraryLoad                       5           265
 jdk.SafepointBegin                          5            56
 jdk.DeprecatedInvocation                    4            70
 jdk.GCReferenceStatistics                   4            37
 jdk.MetaspaceChunkFreeListSummary           4            68
 jdk.GCPhasePauseLevel1                      3           119
 jdk.FileRead                                2            93
 jdk.G1HeapSummary                           2            44
 jdk.GCConfiguration                         2            48
 jdk.GCHeapMemoryUsage                       2            40
 jdk.GCHeapSummary                           2            76
 jdk.JavaMonitorStatistics                   2            14
 jdk.MetaspaceSummary                        2            96
 jdk.PhysicalMemory                          2            32
 jdk.SwapSpace                               2            34
 jdk.ActiveRecording                         1           103
 jdk.CPUInformation                          1          1618
 jdk.CPULoad                                 1            18
 jdk.CPUTimeStampCounter                     1            16
 jdk.ClassLoadingStatistics                  1             9
 jdk.CodeCacheConfiguration                  1            43
 jdk.Compilation                             1            26
